Regiao_Sigla;Estado_Sigla;Municipio;Produto;Data_da_Coleta;Valor_de_Venda;Unidade_de_Medida;Bandeira
NE;BA;CAMACARI;GNV;04/01/2022;3,79;R$ / m³;VIBRA ENERGIA
NE;PE;JABOATAO DOS GUARARAPES;GNV;04/01/2022;3,95;R$ / m³;BRANCA
SE;RJ;RIO DE JANEIRO;GNV;04/01/2022;3,99;R$ / m³;BRANCA
SE;RJ;SAO JOAO DE MERITI;GNV;04/01/2022;4,09;R$ / m³;RAIZEN
SE;RJ;NITEROI;GNV;03/01/2022;4,19;R$ / m³;IPIRANGA
SE;RJ;BELFORD ROXO;GNV;04/01/2022;4,19;R$ / m³;IPIRANGA
SE;ES;VITORIA;GNV;04/01/2022;4,49;R$ / m³;RAIZEN
SE;SP;SAO PAULO;ETANOL;04/01/2022;4,49;R$ / litro;BRANCA
SE;SP;BARUERI;ETANOL;05/01/2022;4,59;R$ / litro;BRANCA
S;PR;ASSIS CHATEAUBRIAND;ETANOL;11/02/2022;4,59;R$ / litro;BRANCA
SE;SP;ADAMANTINA;ETANOL;04/01/2022;4,69;R$ / litro;BRANCA
SE;SP;BARRETOS;ETANOL;04/01/2022;4,79;R$ / litro;BRANCA
SE;SP;JACAREI;ETANOL;05/01/2022;4,79;R$ / litro;BRANCA
SE;MG;CURVELO;ETANOL;03/03/2022;4,87;R$ / litro;BRANCA
SE;SP;VINHEDO;ETANOL;05/01/2022;4,89;R$ / litro;RAIZEN
S;PR;CAMPO MOURAO;ETANOL;04/01/2022;4,92;R$ / litro;BRANCA
SE;SP;CACAPAVA;DIESEL;05/01/2022;4,94;R$ / litro;BRANCA
S;PR;PINHAIS;DIESEL S10;04/01/2022;4,95;R$ / litro;UNI
S;PR;PATO BRANCO;ETANOL;17/02/2022;4,95;R$ / litro;RODOIL
S;RS;SAPUCAIA DO SUL;DIESEL;06/01/2022;4,96;R$ / litro;BRANCA
S;SC;BRUSQUE;DIESEL S10;05/01/2022;4,98;R$ / litro;IPIRANGA
S;PR;CIANORTE;DIESEL S10;05/01/2022;4,99;R$ / litro;CIAPETRO
S;PR;PARANAVAI;DIESEL S10;05/01/2022;4,99;R$ / litro;BRANCA
S;RS;SAPIRANGA;DIESEL;05/01/2022;4,99;R$ / litro;BRANCA
S;RS;GRAVATAI;DIESEL;05/01/2022;4,99;R$ / litro;IPIRANGA
SE;SP;AMERICANA;DIESEL S10;05/01/2022;4,99;R$ / litro;BRANCA
SE;SP;PINDAMONHANGABA;DIESEL;06/01/2022;4,99;R$ / litro;BRANCA
SE;MG;SABARA;ETANOL;15/02/2022;4,99;R$ / litro;VIBRA ENERGIA
S;PR;CAMPO LARGO;ETANOL;17/02/2022;4,99;R$ / litro;BRANCA
S;PR;UNIAO DA VITORIA;DIESEL;05/01/2022;5,00;R$ / litro;IPIRANGA
SE;SP;POA;DIESEL;04/01/2022;5,03;R$ / litro;BRANCA
SE;MG;SETE LAGOAS;DIESEL;04/01/2022;5,04;R$ / litro;BRANCA
S;PR;CORNELIO PROCOPIO;DIESEL;04/01/2022;5,04;R$ / litro;RAIZEN
S;SC;XANXERE;DIESEL;06/01/2022;5,05;R$ / litro;STANG
S;PR;FRANCISCO BELTRAO;DIESEL S10;04/01/2022;5,09;R$ / litro;IPIRANGA
S;PR;CAMBE;DIESEL S10;04/01/2022;5,09;R$ / litro;RAIZEN
S;PR;GUARAPUAVA;DIESEL S10;05/01/2022;5,09;R$ / litro;IPIRANGA
S;SC;ARARANGUA;DIESEL;05/01/2022;5,09;R$ / litro;IPIRANGA
S;SC;CRICIUMA;DIESEL;05/01/2022;5,09;R$ / litro;IPIRANGA
S;RS;OSORIO;DIESEL;05/01/2022;5,09;R$ / litro;BRANCA
SE;MG;JOAO PINHEIRO;DIESEL S10;04/01/2022;5,13;R$ / litro;BRANCA
SE;SP;ARARAQUARA;DIESEL;05/01/2022;5,13;R$ / litro;BRANCA
SE;SP;TAUBATE;DIESEL S10;04/01/2022;5,14;R$ / litro;RAIZEN
SE;SP;CARAPICUIBA;DIESEL S10;04/01/2022;5,14;R$ / litro;VIBRA ENERGIA
S;RS;SANTA MARIA;DIESEL S10;04/01/2022;5,14;R$ / litro;IPIRANGA
SE;SP;BIRIGUI;DIESEL;05/01/2022;5,14;R$ / litro;BRANCA
NE;PE;LAJEDO;DIESEL S10;04/01/2022;5,15;R$ / litro;BRANCA
S;PR;ARAPONGAS;DIESEL;05/01/2022;5,15;R$ / litro;BRANCA
