Regiao_Sigla;Estado_Sigla;Municipio;Produto;Data_da_Coleta;Valor_de_Venda;Unidade_de_Medida;Bandeira
N;AC;RIO BRANCO;GASOLINA;03/01/2022;6,99;R$ / litro;VIBRA ENERGIA
NE;AL;ARAPIRACA;GASOLINA;03/01/2022;6,69;R$ / litro;VIBRA ENERGIA
N;AM;ITACOATIARA;GASOLINA;03/01/2022;6,89;R$ / litro;BRANCA
NE;BA;ILHEUS;GASOLINA;03/01/2022;7,05;R$ / litro;BRANCA
NE;BA;SALVADOR;GASOLINA;03/01/2022;6,55;R$ / litro;VIBRA ENERGIA
NE;CE;ITAPIPOCA;GASOLINA;03/01/2022;7,12;R$ / litro;ALESAT
NE;CE;MARACANAU;GASOLINA;03/01/2022;6,77;R$ / litro;IPIRANGA
SE;ES;ARACRUZ;GASOLINA;03/01/2022;6,77;R$ / litro;BRANCA
SE;ES;LINHARES;GASOLINA;03/01/2022;6,89;R$ / litro;VIBRA ENERGIA
SE;ES;SERRA;GASOLINA;03/01/2022;6,52;R$ / litro;VIBRA ENERGIA
N;TO;ARAGUAINA;GASOLINA;03/01/2022;6,89;R$ / litro;IPIRANGA
CO;GO;CALDAS NOVAS;GASOLINA;03/01/2022;6,97;R$ / litro;IPIRANGA
CO;GO;ITUMBIARA;GASOLINA;03/01/2022;6,68;R$ / litro;BRANCA
CO;GO;RIO VERDE;GASOLINA;03/01/2022;6,67;R$ / litro;IPIRANGA
CO;GO;TRINDADE;GASOLINA;03/01/2022;6,69;R$ / litro;BRANCA
SE;MG;CONSELHEIRO LAFAIETE;GASOLINA;03/01/2022;6,89;R$ / litro;BRANCA
SE;MG;CONTAGEM;GASOLINA;03/01/2022;6,78;R$ / litro;IPIRANGA
SE;MG;DIVINOPOLIS;GASOLINA;03/01/2022;6,99;R$ / litro;VIBRA ENERGIA
SE;MG;JOAO MONLEVADE;GASOLINA;03/01/2022;6,93;R$ / litro;BRANCA
SE;MG;JUIZ DE FORA;GASOLINA;03/01/2022;7,25;R$ / litro;RAIZEN
SE;MG;MONTES CLAROS;GASOLINA;03/01/2022;6,99;R$ / litro;VIBRA ENERGIA
SE;MG;PARA DE MINAS;GASOLINA;03/01/2022;6,85;R$ / litro;VIBRA ENERGIA
SE;MG;PATROCINIO;GASOLINA;03/01/2022;6,87;R$ / litro;BRANCA
CO;MS;DOURADOS;GASOLINA;03/01/2022;6,19;R$ / litro;TAURUS
CO;MT;CACERES;GASOLINA;03/01/2022;6,26;R$ / litro;BRANCA
CO;MT;CUIABA;GASOLINA;03/01/2022;6,37;R$ / litro;BRANCA
N;PA;ALTAMIRA;GASOLINA;03/01/2022;6,99;R$ / litro;BRANCA
N;PA;BELEM;GASOLINA;03/01/2022;6,79;R$ / litro;IPIRANGA
NE;PB;BAYEUX;GASOLINA;03/01/2022;6,61;R$ / litro;VIBRA ENERGIA
NE;PB;CAMPINA GRANDE;GASOLINA;03/01/2022;6,45;R$ / litro;BRANCA
NE;PE;BELO JARDIM;GASOLINA;03/01/2022;6,58;R$ / litro;RAIZEN
NE;PE;GOIANA;GASOLINA;03/01/2022;6,43;R$ / litro;BRANCA
NE;PE;SANTA CRUZ DO CAPIBARIBE;GASOLINA;03/01/2022;6,49;R$ / litro;BRANCA
NE;PI;TERESINA;GASOLINA;03/01/2022;6,69;R$ / litro;IPIRANGA
S;PR;CASCAVEL;GASOLINA;03/01/2022;6,79;R$ / litro;VIBRA ENERGIA
S;PR;FOZ DO IGUACU;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
S;PR;TOLEDO;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
S;PR;UMUARAMA;GASOLINA;03/01/2022;6,52;R$ / litro;BRANCA
SE;RJ;ANGRA DOS REIS;GASOLINA;03/01/2022;7,89;R$ / litro;IPIRANGA
SE;RJ;ITAPERUNA;GASOLINA;03/01/2022;7,38;R$ / litro;VIBRA ENERGIA
SE;RJ;NITEROI;GNV;03/01/2022;4,19;R$ / m³;IPIRANGA
SE;RJ;SAO GONCALO;GASOLINA;03/01/2022;6,89;R$ / litro;BRANCA
SE;RJ;TERESOPOLIS;GASOLINA;03/01/2022;6,97;R$ / litro;BRANCA
S;RS;CAXIAS DO SUL;GASOLINA;03/01/2022;6,59;R$ / litro;RODOIL
S;RS;LAJEADO;GASOLINA;03/01/2022;6,79;R$ / litro;VIBRA ENERGIA
S;RS;SANTA ROSA;GASOLINA;03/01/2022;6,68;R$ / litro;RODOIL
S;RS;SANTO ANGELO;GASOLINA;03/01/2022;6,99;R$ / litro;IPIRANGA
S;RS;VACARIA;GASOLINA;03/01/2022;6,97;R$ / litro;BRANCA
NE;SE;ARACAJU;GASOLINA;03/01/2022;6,45;R$ / litro;PETROX DISTRIBUIDORA
SE;SP;CARAGUATATUBA;GASOLINA;03/01/2022;6,39;R$ / litro;BRANCA
SE;SP;CATANDUVA;GASOLINA;03/01/2022;6,34;R$ / litro;BRANCA
SE;SP;VOTUPORANGA;GASOLINA;03/01/2022;6,19;R$ / litro;BRANCA
SE;SP;DIADEMA;GASOLINA;03/01/2022;6,29;R$ / litro;VIBRA ENERGIA
SE;SP;EMBU DAS ARTES;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;HORTOLANDIA;GASOLINA;03/01/2022;6,19;R$ / litro;BRANCA
SE;SP;IBITINGA;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
SE;SP;MARILIA;GASOLINA;03/01/2022;6,19;R$ / litro;IPIRANGA
SE;SP;MOCOCA;GASOLINA;03/01/2022;6,29;R$ / litro;BRANCA
SE;SP;PRESIDENTE VENCESLAU;GASOLINA;03/01/2022;6,19;R$ / litro;BRANCA
SE;SP;SANTO ANDRE;GASOLINA;03/01/2022;6,39;R$ / litro;VIBRA ENERGIA
SE;SP;SANTOS;GASOLINA;03/01/2022;6,74;R$ / litro;BRANCA
SE;SP;SAO CAETANO DO SUL;GASOLINA;03/01/2022;6,29;R$ / litro;IPIRANGA
SE;SP;SAO JOAO DA BOA VISTA;GASOLINA;03/01/2022;6,09;R$ / litro;BRANCA
SE;SP;SAO VICENTE;GASOLINA;03/01/2022;6,29;R$ / litro;RAIZEN
SE;SP;TABOAO DA SERRA;GASOLINA;03/01/2022;6,49;R$ / litro;VIBRA ENERGIA
NE;AL;MACEIO;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
N;AM;TEFE;GASOLINA;03/01/2022;7,25;R$ / litro;BRANCA
NE;BA;BRUMADO;GASOLINA;03/01/2022;6,99;R$ / litro;RAIZEN
NE;BA;GUANAMBI;GASOLINA;03/01/2022;6,74;R$ / litro;BRANCA
NE;BA;VITORIA DA CONQUISTA;GASOLINA;03/01/2022;6,82;R$ / litro;BRANCA
CO;GO;FORMOSA;GASOLINA;03/01/2022;6,99;R$ / litro;VIBRA ENERGIA
N;TO;GURUPI;GASOLINA;03/01/2022;6,85;R$ / litro;BRANCA
CO;GO;JATAI;GASOLINA;03/01/2022;6,96;R$ / litro;MASUT DISTRIBUIDORA
CO;GO;MINEIROS;GASOLINA;03/01/2022;6,87;R$ / litro;RAIZEN
SE;MG;MANHUACU;GASOLINA;03/01/2022;7,21;R$ / litro;RAIZEN
SE;MG;MURIAE;GASOLINA;03/01/2022;7,19;R$ / litro;VIBRA ENERGIA
SE;MG;TEOFILO OTONI;GASOLINA;03/01/2022;7,12;R$ / litro;BRANCA
SE;MG;UBA;GASOLINA;03/01/2022;7,19;R$ / litro;VIBRA ENERGIA
SE;MG;UBERABA;GASOLINA;03/01/2022;6,79;R$ / litro;RIO BRANCO
SE;MG;VICOSA;GASOLINA;03/01/2022;7,28;R$ / litro;VIBRA ENERGIA
N;PA;SANTAREM;GASOLINA;03/01/2022;6,79;R$ / litro;SABBÁ
NE;PB;JOAO PESSOA;GASOLINA;03/01/2022;6,49;R$ / litro;RAIZEN
NE;PE;IGARASSU;GASOLINA;03/01/2022;6,47;R$ / litro;BRANCA
S;PR;MARINGA;GASOLINA;03/01/2022;6,53;R$ / litro;BRANCA
S;PR;PARANAGUA;GASOLINA;03/01/2022;6,39;R$ / litro;RAIZEN
SE;RJ;BARRA MANSA;GASOLINA;03/01/2022;7,49;R$ / litro;VIBRA ENERGIA
SE;RJ;NOVA FRIBURGO;GASOLINA;03/01/2022;7,39;R$ / litro;VIBRA ENERGIA
NE;RN;MOSSORO;GASOLINA;03/01/2022;6,95;R$ / litro;BRANCA
S;RS;GUAIBA;GASOLINA;03/01/2022;6,73;R$ / litro;IPIRANGA
